"results_total_count","results_last_hour","unique_results_last_hour","hour_window"
0,3688,3201,"2022-04-06 00:00:00"
1838,1838,1710,"2022-04-06 01:00:00"
3240,1402,1318,"2022-04-06 02:00:00"
4518,1278,1189,"2022-04-06 03:00:00"
6045,1527,1432,"2022-04-06 04:00:00"
11062,5017,4135,"2022-04-06 05:00:00"
15733,4671,3839,"2022-04-06 06:00:00"
20084,4351,3574,"2022-04-06 07:00:00"
24650,4566,3767,"2022-04-06 08:00:00"
27760,3110,2698,"2022-04-06 09:00:00"
30744,2984,2581,"2022-04-06 10:00:00"
33403,2659,2329,"2022-04-06 11:00:00"
33403,0,0,"2022-04-06 12:00:00"
33649,246,238,"2022-04-06 13:00:00"
39129,5480,4419,"2022-04-06 14:00:00"
43939,4810,3941,"2022-04-06 15:00:00"
47643,3704,3146,"2022-04-06 16:00:00"
50714,3071,2689,"2022-04-06 17:00:00"
53258,2544,2220,"2022-04-06 18:00:00"
55331,2073,1855,"2022-04-06 19:00:00"
57164,1833,1643,"2022-04-06 20:00:00"
58299,1135,1050,"2022-04-06 21:00:00"
59669,1370,1286,"2022-04-06 22:00:00"
61329,1660,1564,"2022-04-06 23:00:00"
1,3318,3002,"2022-04-07 00:00:00"
1832,1831,1724,"2022-04-07 01:00:00"
3206,1374,1313,"2022-04-07 02:00:00"
4474,1268,1209,"2022-04-07 03:00:00"
5992,1518,1439,"2022-04-07 04:00:00"
10992,5000,4273,"2022-04-07 05:00:00"
15797,4805,4128,"2022-04-07 06:00:00"
20151,4354,3748,"2022-04-07 07:00:00"
24671,4520,3872,"2022-04-07 08:00:00"
27768,3097,2758,"2022-04-07 09:00:00"
30828,3060,2742,"2022-04-07 10:00:00"
33571,2743,2451,"2022-04-07 11:00:00"
33571,0,0,"2022-04-07 12:00:00"
33571,0,0,"2022-04-07 13:00:00"
37203,3632,3217,"2022-04-07 14:00:00"
40384,3181,2841,"2022-04-07 15:00:00"
44200,3816,3388,"2022-04-07 16:00:00"
47277,3077,2748,"2022-04-07 17:00:00"
49772,2495,2271,"2022-04-07 18:00:00"
51314,1542,1444,"2022-04-07 19:00:00"
52938,1624,1510,"2022-04-07 20:00:00"
54581,1643,1538,"2022-04-07 21:00:00"
55046,465,451,"2022-04-07 22:00:00"
57563,2517,1962,"2022-04-07 23:00:00"
2,4632,3104,"2022-04-08 00:00:00"
2203,2201,1649,"2022-04-08 01:00:00"
3950,1747,1400,"2022-04-08 02:00:00"
5475,1525,1212,"2022-04-08 03:00:00"
7282,1807,1439,"2022-04-08 04:00:00"
13716,6434,3941,"2022-04-08 05:00:00"
18809,5093,3235,"2022-04-08 06:00:00"
18809,0,0,"2022-04-08 07:00:00"
19162,353,299,"2022-04-08 08:00:00"
20658,1496,1123,"2022-04-08 09:00:00"
21251,593,492,"2022-04-08 10:00:00"
21251,0,0,"2022-04-08 11:00:00"
21251,0,0,"2022-04-08 12:00:00"
21251,0,0,"2022-04-08 13:00:00"
21251,0,0,"2022-04-08 14:00:00"
21251,0,0,"2022-04-08 15:00:00"
21251,0,0,"2022-04-08 16:00:00"
21251,0,0,"2022-04-08 17:00:00"
21251,0,0,"2022-04-08 18:00:00"
21251,0,0,"2022-04-08 19:00:00"
21251,0,0,"2022-04-08 20:00:00"
21251,0,0,"2022-04-08 21:00:00"
21251,0,0,"2022-04-08 22:00:00"
21251,0,0,"2022-04-08 23:00:00"
